author,predicted reliability,0
RepMcNerney,0,19
RepMcNerney,1,101
RepMeuser,0,3
RepMeuser,1,79
RepMichaelGuest,0,14
RepMichaelGuest,1,128
RepMichaelWaltz,0,41
RepMichaelWaltz,1,168
RepMikeJohnson,0,32
RepMikeJohnson,1,183
RepMikeLevin,0,46
RepMikeLevin,1,278
RepMikeQuigley,0,48
RepMikeQuigley,1,237
RepMikeRogersAL,0,13
RepMikeRogersAL,1,62
RepMikeTurner,0,4
RepMikeTurner,1,92
RepMoBrooks,0,27
RepMoBrooks,1,121
RepMoolenaar,0,3
RepMoolenaar,1,16
RepMullin,0,23
RepMullin,1,109
RepNewhouse,0,17
RepNewhouse,1,138
RepOHalleran,0,36
RepOHalleran,1,433
RepPaulCook,0,4
RepPaulCook,1,25
RepPaulMitchell,0,21
RepPaulMitchell,1,124
RepPaulTonko,0,36
RepPaulTonko,1,204
RepPerlmutter,0,49
RepPerlmutter,1,316
RepPeteAguilar,0,22
RepPeteAguilar,1,94
RepPeteKing,0,8
RepPeteKing,1,61
RepPeteOlson,0,31
RepPeteOlson,1,131
RepPeteStauber,0,9
RepPeteStauber,1,127
RepPeterDeFazio,0,27
RepPeterDeFazio,1,152
RepPressley,0,58
RepPressley,1,261
RepRWilliams,0,17
RepRWilliams,1,325
RepRalphNorman,0,11
RepRalphNorman,1,76
RepRashida,0,34
RepRashida,1,187
RepRaskin,0,25
RepRaskin,1,170
RepRaulGrijalva,0,62
RepRaulGrijalva,1,284
RepRichHudson,0,12
RepRichHudson,1,162
RepRichardNeal,0,30
RepRichardNeal,1,220
RepRichmond,0,30
RepRichmond,1,106
RepRickAllen,0,15
RepRickAllen,1,131
RepRickCrawford,0,46
RepRickCrawford,1,162
RepRickLarsen,0,26
RepRickLarsen,1,222
RepRiggleman,0,35
RepRiggleman,1,262
RepRoKhanna,0,62
RepRoKhanna,1,219
RepRobWoodall,0,10
RepRobWoodall,1,64
RepRobinKelly,0,23
RepRobinKelly,1,172
RepRonEstes,0,20
RepRonEstes,1,145
RepRonKind,0,22
RepRonKind,1,102
RepRonWright,0,24
RepRonWright,1,179
RepRooney,0,11
RepRooney,1,34
RepRoybalAllard,0,30
RepRoybalAllard,1,165
RepRubenGallego,0,50
RepRubenGallego,1,188
RepRussFulcher,0,7
RepRussFulcher,1,85
RepRutherfordFL,0,17
RepRutherfordFL,1,88
RepSamGraves,0,15
RepSamGraves,1,91
RepSarbanes,0,45
RepSarbanes,1,300
RepSchneider,0,40
RepSchneider,1,182
RepSchrader,0,23
RepSchrader,1,110
RepScottPerry,0,15
RepScottPerry,1,105
RepScottPeters,0,34
RepScottPeters,1,254
RepSeanMaloney,0,64
RepSeanMaloney,1,189
RepShalala,0,65
RepShalala,1,266
RepSherrill,0,16
RepSherrill,1,241
RepShimkus,0,4
RepShimkus,1,26
RepSires,0,29
RepSires,1,253
RepSlotkin,0,35
RepSlotkin,1,164
RepSmucker,0,15
RepSmucker,1,141
RepSpanberger,0,50
RepSpanberger,1,337
RepSpeier,0,55
RepSpeier,1,197
RepStefanik,0,56
RepStefanik,1,454
RepStephMurphy,0,19
RepStephMurphy,1,325
RepStephenLynch,0,18
RepStephenLynch,1,219
RepSteveChabot,0,48
RepSteveChabot,1,249
RepSteveStivers,0,19
RepSteveStivers,1,175
RepSusanDavis,0,26
RepSusanDavis,1,90
RepSusanWild,0,46
RepSusanWild,1,309
RepSusieLee,0,57
RepSusieLee,1,346
RepSwalwell,0,24
RepSwalwell,1,84
RepSylviaGarcia,0,37
RepSylviaGarcia,1,242
RepTedBudd,0,39
RepTedBudd,1,166
RepTedDeutch,0,98
RepTedDeutch,1,300
RepTedLieu,0,33
RepTedLieu,1,274
RepTedYoho,0,33
RepTedYoho,1,100
RepTerriSewell,0,30
RepTerriSewell,1,271
RepThomasMassie,0,36
RepThomasMassie,1,128
RepThompson,0,20
RepThompson,1,127
RepTimBurchett,0,12
RepTimBurchett,1,106
RepTimRyan,0,92
RepTimRyan,1,228
RepTipton,0,19
RepTipton,1,122
RepTjCox,0,44
RepTjCox,1,332
RepTomEmmer,0,12
RepTomEmmer,1,194
