,Tweet
70,"Listen to my discussion from this morning with @BishopOnAir on @NewsTalkWMAY about COVID-19 relief, my Clean Start legislation that will incentivize a safe return to work, and the developments in the federal corruption investigation that implicated Speaker Madigan ⬇️ https://t.co/f8F2aDUy7k"
71,RT @RiponAdvance: “The Value in Healthcare Act is a commonsense proposal that includes substantive reforms to encourage and support greater…
72,"Joining @ScottMillerShow on @WJBC at 7:10 am central time to provide a Washington update and discuss COVID-19 relief. Listen ⤵️
https://t.co/jXasBoOF7J"
73,"RT @WaysandMeansGOP: Yesterday we introduced our agenda for restoring a healthy American economy

Part of this agenda is @RepLaHood's Make…"
74,"Today, I introduced the Bringing Back American Jobs Through IP Repatriation Act as part of @WaysandMeansGOP's Agenda For a Healthy American Economy.

Learn more about our efforts to strengthen America's competitiveness and increase innovation ⬇️
https://t.co/TIbMIfoNAQ"
75,"RT @WaysandMeansGOP: Americans deserve action when it comes to fighting #coronavirus.

Today Ways and Means Republicans introduced our agen…"
76,"COVID-19 has severely impacted Illinois food and beverage distributors. I joined @RepJimmyPanetta today to introduce legislation that will help distributors keep their employees on the payroll and protect our food supply chain.
https://t.co/COdeluAELY"
77,"RT @WaysandMeansGOP: We can grow the economy, return to work, and innovate our health care system safely and responsibly.

Republicans on t…"
78,"Thanks to everyone who joined last night’s telephone town hall! We had a productive conversation about COVID-19 and issues that matter to constituents of #IL18. If you would like to participate in future calls, you can subscribe here: https://t.co/xStfeS7ZNG https://t.co/hn0qsrRjxQ"
79,"🚨 The 2019 federal and state income tax filings and payment deadlines are tomorrow. Taxpayers who need additional time to file beyond the July 15 deadline can request a filing extension.
https://t.co/jwbzguGEcc"
80,"Great news for @ConnectTransit! This week, @RodneyDavis and I announced that over $930,000 in CARES Act grant funding was awarded to support Bloomington-Normal's public transportation system in the wake of COVID-19.
https://t.co/FT13ZH2D0G"
81,"This week, I joined @USIP, @nancylindborg, and my fellow co-chair of the US-China Working Group @RepRickLarsen for a discussion on the current US-China relationship, human rights, Hong Kong, trade, COVID-19, and more.

Watch our full conversation ⬇️
https://t.co/zMtLzXWmLE"
82,"Salons and barbershops have disproportionately impacted by #COVID19. My bipartisan, commonsense legislation will provide these small businesses needed relief during this difficult time.
https://t.co/dezra4gkC2"
83,"#USMCA will create more opportunities for #IL18 farmers, manufacturers, and workers. It will provide needed certainty for our ag producers and create jobs—which is critical for our #COVID19 recovery.
https://t.co/H7H8rh3gL0"
84,"RT @SecBernhardt: Thank you @GOPleader, @Jim_Jordan, @SusanWBrooks, @RepLaHood, @RepClayHiggins, @RepRutherfordFL, and all who have shared…"
85,RT @GOPLeader: These are the men and women who protect our national monuments and keep Americans safe. I visited with them today before the…
86,"RT @WaysandMeansGOP: What's in Pelosi's H.R. 1425 health care plan:
 
➡️ Fewer Cures for Americans
 
➡️ Expanding Obamacare
 
➡️ Subsidies…"
87,"I joined @MarkMaxwellTV for yesterday’s @CapConnectIL. We discussed the #COVID19 response, the #PaycheckProtectionProgram, police reform efforts in DC, and more.

Watch ⬇️
https://t.co/AXpn9LLrIX"
88,Praying for the victims of the tragic shooting at Bunn-O-Matic in Springfield today and their families. Thank you to the law enforcement officials and employees who acted to keep people safe. I will continue to monitor the situation. https://t.co/Gxf9gV3ojU
89,"This weekend, I met with my #IL18 Veteran Advisory Board to discuss priorities facing our veteran community. We had a good conversation about the impact of #COVID19 on veterans, suicide prevention awareness, health care &amp; veterans’ services. Learn more: https://t.co/qxwbKbCwbM https://t.co/7O919Gk1P2"
90,Joined the Ways and Means Subcommittee on Select Revenue Measures for a hearing on tax relief to support workers and families during #COVID19. We must focus on incentivizing a safe return to work to put our country back on strong economic footing. Watch: https://t.co/LoHWxOyboN https://t.co/fzYY2EXWro
91,"Important: the #PaycheckProtectionProgram application deadline is June 30th. This program has been a lifeline to small businesses across Illinois during the #COVID19 pandemic. If you need assistance, learn more ⬇️ https://t.co/kvQRxzeSrf"
92,"RT @China_TaskForce: #ChinaTaskForce chair @RepMcCaul releases interim report on origins of COVID-19 Pandemic⬇️

""It's become crystal clear…"
93,"On #FlagDay, we salute the American flag, those who have laid down their lives defending it, and everything that the flag stands for. Justice, freedom, and equality. https://t.co/RlkFM7J8OS"
94,"China presents us with a unique challenge because of #COVID19. As we look to the future, we must strengthen our supply chains and build off of the Phase One trade deal to increase competitiveness. Learn more from my discussion with the @RiponSociety about the #ChinaTaskForce ⬇️ https://t.co/zBZnREb2J9"
95,"Illinois has one of the most restrictive stay-at-home orders. Every region meets the criteria for the next phase. Yet @GovPritzker, who violated his own order, refuses to let regions and businesses reopen quicker. It’s illogical and hypocritical.

It’s time to reopen Illinois."
96,"Congratulations to Abigail, from Waverly, who will attend the @AF_Academy and Isaac, from Rushville, who will attend @WestPoint_USMA! #IL18
https://t.co/rJQUbytQe4"
97,"My shoes haven’t looked this good in months, but they do now, thanks to Peoria’s own George Manias. For 74 years, George’s Shoeshine &amp; Hatters has been a staple in Peoria, but #COVID19 closed his shop. It’s great to see him back in business.

Nobody does it better than George! https://t.co/UZY0WqXFue"
98,"I had the pleasure of joining @PSimonInstitute this week for their #UnderstandingOurNewWorld series. We had a great discussion about state &amp; federal politics, #COVID19 response, reopening our economy, IL's fiscal challenges, fair maps &amp; more.

Watch ⤵️
https://t.co/JOTihFgB91"
99,"I am proud that 8 dynamic leaders from across #IL18 accepted appointments to our nation’s military academies. I am inspired by these young men &amp; women who are willing to put service before self &amp; have no doubt that they will serve our nation with honor. 🇺🇸
https://t.co/THQ9RjER3T"
100,"Congrats to our son McKay on his graduation from Peoria Notre Dame HS! While virtual, we made it special for him. So proud of his academic &amp; soccer success. Thanks to all of his teachers &amp; coaches who helped him along the way. We love you, Mac! #ClassOf2020 #NextStopDePaulSoccer https://t.co/vZqyNiA78S"
101,"Today, we recognize the 76th Anniversary of D-Day. We must never forget the brave soldiers who made the ultimate sacrifice in the defense of our nation’s freedom. #DDay76 🇺🇸 https://t.co/RjW6TkNpw4"
102,"Illinois must deliver #COVID19 federal aid allocated for small, rural communities in need. Additional funding from Congress should go directly to cities &amp; municipalities, instead of being routed through states who have circumvented Congressional intent. https://t.co/dF9oLK6bnl"
103,Getting folks back to work is critical to reinvigorating our economy. I've cosponsored @RepKevinBrady's back-to-work bonus proposal that will incentivize the temporarily unemployed to return to work. This will help Main Street rebuild in the wake of #COVID19. https://t.co/cqIvYWMhBk
104,"#COVID19 &amp; forced shutdowns are threatening the jobs of first responders &amp; firefighters like those in @AFFI1935 &amp; @pfdlocal50. That's why I've called on FEMA to give greater flexibility to SAFER grantees, so experienced firemen &amp; women can keep their jobs. More from @WMBDNews ⬇️ https://t.co/wbDn3Mm5ic"
105,"RT @WaysandMeansGOP: By reopening our economy safely, continuing to fight #coronavirus, and getting hard-working Americans back into their…"
106,RT @DeptofDefense: What they gave us is beyond our power to repay. Who are you remembering on this #MemorialDay? #HonorOurFallen https://t.…
107,"On this #MemorialDay, we honor the brave servicemen and women who paid the ultimate sacrifice for our country and our freedom.
 
We are forever grateful for their sacrifices. #HonorOurFallen 🇺🇸 https://t.co/NC25vwq8fJ"
108,"Chip’s Handyman Service is fighting hunger and giving back to the Jacksonville Food Bank in wake of #COVID19.

Thanks to Chip Williams and his team for helping those in need during these difficult times. #InItTogether #HeroesUnmasked @journalcourier
https://t.co/iWSc6LDT8a"
109,"Congrats @RepRatcliffe on being confirmed as Director of @ODNIgov! John was an excellent federal prosecutor who will bring accountability and integrity to this new role. 

A great selection by President @realDonaldTrump. 🇺🇸 https://t.co/MO0iD5iNgk"
110,"It's unacceptable that Illinois continues to withhold federal #COVID19 aid from municipalities in need. Smaller, rural communities need help too.

That's why I joined my IL GOP colleagues to call on Gov. Pritzker to provide transparency about where this federal funding is going. https://t.co/WpJTJhQFu3"
111,"RT @RepKevinBrady: Illinois &amp; @GovPritzker under fire for withholding COVID-19 aid Congress sent for small &amp; rural communities.

@RepLaHood…"
112,"The threats against communities fighting to save their livelihoods in the wake of #COVID19 are unconscionable.

I agree with @NikkiHaley &amp; @standamericanow. We should empower local leaders who balance the health &amp; economic needs of their towns, not harm them with top-down fiats. https://t.co/ZyDOF82jAt"
113,It is deeply troubling that during a global pandemic &amp; in the middle of an economic crisis that House Dems took an unserious approach that puts their political agenda over #COVID19 relief. Congress must focus on providing bipartisan assistance to those in need. Full statement ⬇️ https://t.co/a0UpxEfdiZ
114,"Joining @wgnkingjohn on @WGNRadio at 10:15am to discuss #COVIDー19 and Congressional action to provide relief for Illinois. Listen ⬇️
https://t.co/4vISmSH276"
115,"Joining Joey McLaughlin on @WTAX at 6:45am this morning to discuss #COVIDー19 and our recovery efforts. Tune in ⬇️
https://t.co/z73DZY6FzC"
116,"RT @RepBradWenstrup: With all of the interruptions that the COVID-19 outbreak caused, I recently sent a bipartisan letter with @RepLaHood a…"
117,"GOOD NEWS → @FTA_DOT is sending $10.2M+ in #CARESAct funding to the @CityLinkPeoria for #COVID19 recovery. This will ensure residents have access to safe public transportation and that workers get the proper equipment to stay safe.
https://t.co/mjK0gY0alo"
118,"We can balance the health and economic needs of individual communities. It is not an either/or proposition. Illinoisans are resilient, resourceful people.

We can keep our residents safe while getting our state on a path to prosperity."
119,"Looking forward to joining @rap30 for @SundaySpin on @WGNRadio this evening. I’ll be on around 6:30pm to discuss the impact of #COVIDー19 on downstate Illinois, our response, and how we recover.

Tune in: https://t.co/PgFuXe6xek https://t.co/MLCnsaxr2O"
120,"I’ll continue to advocate for a community-focused approach. I am grateful to the local leaders in #IL18 who have stepped up during this pandemic. As we balance the health and economic needs of IL, we must listen to these local leaders and put IL on a path to prosperity."
121,"I stopped by Quincy High School this morning to thank the food service staff who stepped up during these difficult times to distribute meals to students &amp; families. Thanks to Quincy Superintendent Roy Webb &amp; his team’s work, over 70k meals have been distributed! #InItTogether https://t.co/QhjbwM1IkD"
122,"Today, we celebrate 75 years since the Allied victory in Europe in #WWII. May we never forget the brave soldiers who defended freedom and defeated tyranny. 🇺🇸 #VEDay75 https://t.co/IEsFvs5RKH"
123,Honored to be named by @GOPLeader to @HouseGOP’s China Task Force. It’s important that we hold China accountable for mishandling #COVIDー19. I look forward to doing just that &amp; being a strong voice for American workers &amp; farmers on critical trade issues. https://t.co/C2hlF8p4Vk
124,"#COVIDー19 is putting an incredible strain on Illinois pork producers, gutting their market. That's why I joined my Illinois Republican colleagues this week to urge the Governor to seek available assistance from @fema for our pork producers.  
https://t.co/OVmnLRmd8m"
125,"Nurses in Illinois are on the frontlines of the #COVID19 response, keeping our families and communities safe.

On #NationalNursesDay, I want to say THANK YOU to all of #IL18's nurses! https://t.co/wPk9v51Vzt"
126,"On #TeacherAppreciationDay, I want to say thank you to educators across central and west-central Illinois. #COVIDー19 has forced our schools to close, but that hasn't stopped Illinois teachers from educating students in new ways.

Thank you, #IL18 teachers! https://t.co/LcJ4u9ZJ7o"
127,"#COVID19 didn't create IL’s pension crisis &amp; taxpayers shouldn’t be on the hook to bail out decades of fiscal mismanagement. IL needs real reform &amp; Congress should focus on helping everyday Americans.

My conversation with @guypbenson on @GuyBensonShow  ⬇️
https://t.co/KXPqVtl5LK"
128,"Congress should be in DC doing the People’s business, not sitting on the sidelines while essential workers fight #COVIDー19.

@GOPLeader, @RodneyDavis, and @TomColeOK04’s safe, reasonable plan to get Congress back to work is the right approach.
https://t.co/Bw7q8BHZtg"
129,"As we work to combat #COVID19 in Illinois, we must take an approach that balances the health and economic needs of individual communities. I spoke to @WMBDNews over the weekend about the need for a safe, phased, and regionally focused approach to reopening Illinois. https://t.co/yeNwSTkeNe"
130,RT @AFThunderbirds: We salute the healthcare workers and first responders who are at the forefront of our nation’s fight against COVID-19.…
131,"I joined @NewsTalkWMAY with @BishopOnAir and Chris Murphy this morning to discuss the extension of Illinois' stay-at-home order, the need to begin regionally, safely reopening our state, and the next steps Congress may take in the fight against #COVID19. Listen ⬇️ https://t.co/zfzzQv37ym"
132,"📺 Coming up at 4:05 pm I’ll be on @WMBDNews with @eugenedanielTV to discuss #COVID19 and the need for a safe, regional, and tiered approach to reopening Illinois."
133,"Illinois is a regionally diverse state, and #COVID19 is impacting downstate differently. That's why I joined @RepKinzinger @RodneyDavis @RepBost and @RepShimkus to call for a safe, regional approach to reopening that meets the health and economic needs of individual communities. https://t.co/gsATDNudrp"
