,Tweet
128,I’m proud to partner with the Trump administration as we provide #TX25 with greater access to health care and tele-health services. I will continue fighting to ensure Texans receive the highest quality of care possible while combating #COVID19. https://t.co/GKp2oSfBzD
129,"“It could be the lifeline of staying open or not for us,” Burkett said. “And this is important for the industry as a whole. There are so many musicians...this is how they make their living &amp; support their families.”

We must pass the #SaveOurStagesAct ⬇️ https://t.co/nM6KU3c8bu"
130,I’ll be joining @BlakeBurman live on @FoxBusiness around 1pm CT to discuss the latest on the next COVID-19 package and my efforts to get Texans back to work. Tune in! https://t.co/I0cFw6JAzw
131,"🚨 Mobile testing sites will be available TOMORROW in Tarrant and Travis Counties by appointment only. To schedule an appointment, visit: https://t.co/cYJZhk0D05 https://t.co/Er6HAMTiBH"
132,"Live music venues play a crucial role in our communities as they inspire future artists, support local businesses and generate billions of dollars into our economy.

I'm proud to introduce the #SaveOurStagesAct to provide relief during COVID-19 so they can once again reopen. https://t.co/fDpiWV2aRx"
133,"Live music venues across #TX25 &amp; our home state are facing devastating consequences due to COVID-19. I’m proud to fight for relief on their behalf by introducing the Save Our Stages Act.

READ what venues &amp; artists are saying about the #SaveOurStagesAct ⬇️
https://t.co/L0s1qJi4wi"
134,"As independent music venues face devastating effects from COVID-19, I’m proud to partner with venue owners, promoters and artists to provide relief for the industry.

It’s vital to our communities, especially Austin, that we #SaveOurStages ⬇️ https://t.co/R4GM1Kloun https://t.co/0bIPl0BlFo"
135,"The COVID-19 pandemic has underscored the crucial role high-speed internet plays in our society.

I’m leading the effort to bridge the digital divide in our communities so everyone has equal access to quality broadband. Read ➡️ https://t.co/pkpr72Pwm9 https://t.co/kwS7iHpKbo"
136,"It was a privilege to honor the life, spirit and legacy of John Lewis. 

He was an extraordinary public servant who dedicated his life to making our nation a more perfect union with unmatched resolve and strength; his courage changed America. May God forever bless his memory. https://t.co/e0ez0nLVSb"
137,"Instead of focusing on COVID-19 resources for our communities, @SpeakerPelosi’s partisan funding bill advances the radical green agenda and the Democrats’ liberal wishlist. 

❌ The political games continue at the expense of Texans and the American people. https://t.co/Zi0l3AqqB9"
138,"Great to join my friends at @WBAP247NEWS this morning to discuss the next COVID-19 package, getting Texans back to work, and a little bit of baseball. Click below to listen ⬇️ https://t.co/dYI7Tj9CKU"
139,"We need to be working together to provide assistance to the millions of Americans who are hurting right now during #COVID19. 

Instead, Democrats shamefully used our Financial Services hearing today to rehash their partisan wish list in the HEROES Act that will never become law. https://t.co/TEs0WD7ZYW"
140,"RT @TDEM: 👋🏽Good morning, #Texas! There are 1,084 locations statewide to get a #COVID19 test today. Need a test? Follow these steps👇🏼

✔️Vi…"
141,Health care providers have overcome tremendous obstacles during COVID-19. I’m proud to introduce the bipartisan MFAR Transparency Act to prevent an unnecessary government regulation so they can keep serving patients during the most dynamic health crisis of our generation ⬇️ https://t.co/1uhBzaXqdd
142,"This year’s NDAA gives our troops a much-deserved pay raise and ensures the DoD has the resources to combat COVID-19.

While I disagree with some elements of the House bill, I will ALWAYS proudly be a champion for Fort Hood and our nation’s warfighters. https://t.co/wlrf0wEeto https://t.co/FxRkF1RSOw"
143,"RT @dcexaminer: .@RepRWilliams: Rural hospitals and clinics are essential in our communities, and it’s more important now than ever that we…"
