,Tweet
74,"We have overcome every challenge we have ever faced, and we will overcome this one.

We will defeat this virus. We will restore our economy. We will heal our nation. We are Americans. https://t.co/jA9jQ1KxVX"
75,"We will defeat this virus. We will restore our economy. We will heal our nation. We are Americans.

Watch my speech on the floor before the passage of The CARES Act this morning: https://t.co/epumUOgIaA"
76,Wyoming small business owners can learn more about the financial aid included in the latest coronavirus relief package by clicking here: https://t.co/31Evbsgk1v https://t.co/I7krWv9Vef
77,Click the link below for the latest updates on how we're working to combat the global health crisis and economic crisis posed by the spread of coronavirus: https://t.co/xUxYDncT7Q https://t.co/UsGKxbQ2Ih
78,"On National Medal of Honor Day, we recognize the bravest Americans who have received the country’s highest honor for valor. In particular, we think about the 17 recipients of this award from Wyoming who represent the best our state and nation have to offer. https://t.co/njLD1OyYPR"
79,"In these very difficult times, we are grateful more than ever for our farmers and ranchers who produce America’s food. We celebrate all of you on this National Ag Day. https://t.co/HuiUOFeUIN"
80,Democrats continue to block legislation that would provide crucial emergency relief to Americans who are suffering from the coronavirus pandemic and economic crisis. They are holding hostage lifesaving aid in order to push their “Green New Deal” agenda. https://t.co/TbiYy5Wh9a https://t.co/xRjYjAhNpq
81,"In the face of a global health crisis and a global economic crisis, Democrat leaders have proven that they can't be trusted to put the priorities of the American people first."
82,RT @GovernorGordon: Excellent news: Wyoming small businesses impacted by COVID-19 have received final Federal approval to seek loans up to…
83,"I'm working closely with Congressional leaders on a third coronavirus relief bill focused on delivering immediate aid to American families, workers, and small businesses. Click here to get the latest updates on efforts to combat the spread of COVID-19: https://t.co/R4bwmO166a https://t.co/69lTKLRJMt"
84,President Trump has now signed two emergency bills into law that will expand resources for medical care and economic relief. Learn more about these bills and what is being done to combat the impact of coronavirus: https://t.co/x5usrx9ZIo https://t.co/RUAvCEmJvf
85,"You can visit https://t.co/kSpGCsqvUk for daily updates about what we are doing in Congress and with the Trump Administration to defeat coronavirus, help the people of Wyoming, and restore our economy. https://t.co/Lp0i8O12fs"
86,My newsletter will include the latest developments concerning what we are doing in Congress and with the Trump Administration to defeat coronavirus and restore our economy. Click below to read more and sign up for daily updates. https://t.co/n3RXYE9khv https://t.co/ErWdysBSlf
87,This is a trying time for our country &amp; state as we work to mitigate the threat posed by coronavirus. I want to make sure you have all the latest information about the public health &amp; economic aspects of this challenge. Read more in my latest newsletter: https://t.co/C5krwsENbx
88,Are you a Wyoming small business owner impacted by coronavirus? The SBA’s Economic Injury Disaster Loan program can provide you with loans to help overcome the temporary loss of revenue you might be experiencing. Learn more: https://t.co/0L6bSxqdjI
89,RT @WHNSC: Text message rumors of a national #quarantine are FAKE. There is no national lockdown. @CDCgov has and will continue to post the…
90,"President Trump’s actions and the House bill passed tonight are important steps to combat coronavirus. 

Our nation will face challenging times in the coming weeks. We must put partisanship aside and come together to overcome this challenge https://t.co/ETVeFyU1Hx"
91,"I have instructed staff in my office and in House GOP Conference office to begin working from home. I will continue to work at the Capitol as we have votes, but we need to do everything we can to slow transmission of this virus &amp; reduce numbers of people who could be exposed."
92,"Spoke today w/ Dr. Harrist, Stefan Johansson and Stephanie Pyle of @health_wyoming about the work being done at the federal, state and local level to prepare for the coronavirus. The health of the people of Wyoming is our number one priority. Grateful for the work they’re doing. https://t.co/5u3EDtrP9I"
93,Pathogens do not respect party lines. Combating coronavirus will require bipartisan cooperation. We have a duty to make sure that the nation is prepared. https://t.co/225rlX5aBf https://t.co/nDc5XAQaIn
94,Socialism extinguishes freedom. There’s nobody who understands this more than people whose families came to the United States from Cuba. https://t.co/f4jhWyoesT https://t.co/icnjU0fYaY
95,It’s a shame and tragedy that Democrats refuse to prevent infanticide. Protecting innocent babies who are born alive should not be a difficult or partisan vote. https://t.co/Qh2SPTud6O
96,"Since 1928, @NationalFFA has been inspiring the next generation of young leaders to pursue fulfilling careers in agriculture. This week, we celebrate #FFAWeek and the 700,000+ students who embody the FFA motto: “Learning to Do, Doing to Learn, Earning to Live, Living to Serve.” https://t.co/dHdr9bp0r0"
97,"75 years ago today, U.S. Marines launched an amphibious assault on the beaches of Iwo Jima. Raising the American flag at Mount Suribachi will forever symbolize the courage and sacrifice of those who fought at Iwo Jima, where “uncommon valor was a common virtue.” https://t.co/pUv4pQl1j8"
98,"Wyoming’s rural communities face unique challenges in providing accessible and affordable healthcare. It was a pleasure to meet with Eric Schlidt, a fellow with @ruralhealth from Casper, to discuss innovative new strategies to enhance healthcare services throughout Wyoming. https://t.co/0rvMnU4npP"
