,Tweet
105,RT @HouseGOP: Today we celebrate generations of hardworking Americans who helped build our nation’s booming economy and continue to drive t…
106,Thank you to Golden Triangle Business Roundtable for hosting their annual Contractor Safety Awards which honors the Southeast Texas contractors who serve our great district. https://t.co/NduRalDsLB
107,Hats off to you Sheriff! We need more like you &amp; your deputies. I know (&amp; appreciate) the uphill battle y’all are in &amp; how frustrating it is when there are those who don’t understand the battle we’re in &amp; seem intent on downplaying it at every turn! LORD Bless you &amp; your deputies https://t.co/E4ZBZEn1o5
108,Here is another facility at our great @CBP facility at Antelope Wells in New Mexico. The Chief showed us how well the 220 illegal aliens who came through the night before were treated and how well they were taken care of. This is  the toilet/hand washing/drinking fountain...(1/2) https://t.co/0vJZPpI5M3
109,"Sure: taxes are paid &amp; whoever  pays them (or doesn’t) is “entitled” to healthcare... It’s “guaranteed” in the Constitution, right? Uh... no! Have we really become a nation of entitlements? Can u say “Socialism?”... of course u can!LORD help us. @realDonaldTrump , @SaraCarterDC https://t.co/NGgk6CjsJO"
110,"Please to announce that Brazoria County Head Start Early Learning Schools is receiving a grant in the amount of $2,188,624 from U.S. Department of Health and Human Services!"
111,"RT @AriFleischer: Put yourself in the shoes of someone who hopes to immigrate to the US. Should they apply to enter, do it legally and wait…"
112,Today marks the 75th Anniversary of #DDay. May we always remember the courage and sacrifice of the American soldiers who stormed the beaches of Normandy...turning the tide of WWII to change the course of history and beat back tyranny. #TheGreatestGeneration
113,"Let’s do it 🚀🌔
Many thanks to our GREAT men and women at @NASA_Johnson who will get us there! https://t.co/lWENormJ8L"
114,"Earlier today there was an accident in the ship channel. Officials say there is no public health threat even though the smell may be strong in some areas.

Local residents may want to turn off air conditioners to limit the smell within homes.
https://t.co/2RgAH3Afbq"
115,"Today, I led my Republican colleagues in asking for the #BornAliveAct to be taken up. Dem Leadership again denied our request to protect babies who are born alive after an attempted abortion… This bill is commonsense legislation. #ProLife #EndInfanticide #LetUsVote https://t.co/we8BCmh565"
116,"700++ rockets fired by Hamas. 3 Israelis dead. Countless wounded. Hospital, schools, &amp; homes destroyed. A pregnant Palestinian woman &amp; her 14 m/o niece killed by a failed launch. Nowhere else would this be allowed to continue. This must come to a swift end. I stand with Israel."
117,"On this day…1943 - Jews in the Warsaw ghetto fought back against Nazi officials who would have deported them to killing centers. The resisters held out for nearly a month. Today, #WeRemember their bravery and courage. We can never again tolerate anti-Semitism."
118,"Over $32 Trillion in costs, over 100 million Americans lose their existing healthcare, can’t keep your Doctor... higher costs, but other than that... it’s a real good deal. How stupid do they think Americans are? #NoSocialism #NoGovtRunHealthCare"
119,So... the D’s are counting their “proverbial chickens” before they’re hatched... If they think healthcare is expensive now; wait til it’s “free.” https://t.co/KJxNjxP0uB
120,The D’s are celebrating that they are once again poised to take over (they think) the HealthCare system. “Medicare for all.” Champagne in the Rules Committee after the hearing... If you think healthcare is expensive now: wait until it’s “free!” Never passes Senate or POTUS desk.
121,RT @SteveScalise: No Budget = No Agenda. Democrats have spent all of their time on phony conspiracy theories and pointless investigations m…
122,"Liberals wanted Obama to give Iran: $5 billion; those who want to wipe America &amp; Israel off the map, but they din’t our great President Trump to get $5 billion to keep drug lords, criminals &amp; those who want to break our laws... away from us Americans. You can’t make it up. MAGA https://t.co/9Bzrl1axnQ"
123,"Senate D’s kill (interesting word) the Born-Alive Survivors Protection Act. Barbaric! Even on battlefield with worst enemies, if we take a wounded prisoner: don’t we give medical treatment to save them? But we won’t save innocent babies who survived attemps to kill them? GOD help"
124,"Let me understand. Certain D’s (some of who believe the world could end in 12 years) think that we must go to all green energy, regardless of the cost. Apparently they think “the sky’s the limit!” No wait, even the sky is off limit as in no airplanes. Can’t make this stuff up..rw"
125,"The 75th anniversary of D-Day is coming up in June. Those brave, young soldiers knew their cause, they knew who they were there to help. Their story is one of courage and bravery. POTUS is right…They knew America had to prevail. Good always triumphs over evil."
126,"We must do something about this. Until then, people will continue suffering. Who are we to tolerate and allow this?"
127,Glad to see the group Foreigners donating to Shriners Hospital in Galveston.  Pardon the pun: Y’all Rock! #ForeignersRock
128,"Texans helping Texans. We’re delivering help and assistance to those whose lives were turned upside down by Harvey. We will not stop until we’ve rebuilt stronger and better than before. Blessings to Ms. Havalisia Owens…
https://t.co/BoiIYxzqNY"
