,Tweet
88,RT @SBAgov: #COVID19 UPDATE: Small businesses can now apply for the #PaycheckProtectionProgram. The program is designed to keep small busin…
89,"While the rest of the world comes together to take action &amp; help stop this global pandemic, the Communist Party of China continues to cover-up its origin &amp; spread conspiracy theories rather than step up &amp; share with the world what they know about the virus."
90,"Great news! @WhiskeyAcres is back to work, restarting their production on making hand sanitizer for our local health facilities. #IL16 #InItTogether https://t.co/q8zU9d2uGk"
91,"RT @WCMY: Cong. Kinzinger is concerned about what the corona virus relief bill will do to the national debt, but he says it must be done to…"
92,RT @WashTimes: Several Chinese state media outlets in recent months touted the virus research on bats and lionized in particular a key rese…
93,"To the men &amp; women on the front lines of this global health crisis, we thank you. #NationalDoctorsDay is a way to share our unwavering gratitude to the medical professionals in #IL16 &amp; across the country who are dedicated to saving lives &amp; fighting #COVID19. #InItTogether https://t.co/krOZvoDhtp"
94,RT @newsmax: 80% of virus test kits from China sent to Czech Republic have resulted in faulty results https://t.co/3GqGKt1FO6 https://t.co/…
95,"Proud to see the House pass #CARESAct by voice today--a #coronavirus relief effort to save countless lives &amp; our economy. These are trying times, but we're #InItTogether &amp; the sacrifices we make now will put us on a stronger path to a brighter future. https://t.co/qlNSZN6zcR"
96,RT @ABC7Chicago: Having difficulty filing for unemployment in Illinois? Try these tips during the coronavirus crisis https://t.co/kHzEnO2o3…
97,"RT @Joliet_HN: Kinzinger: COVID-19 relief should help rural hospitals, combat misinformation https://t.co/X9uCioaxOW"
98,"RT @DeptofDefense: Today is National #MedalofHonorDay, a time to remember the 3,500+ heroes who received the nation’s highest award for val…"
99,"Our agriculture community works tirelessly to provide for American families. In the midst of a global health crisis, they continue to be our rock. On #NationalAgDay &amp; every day, we celebrate our farmers, ranchers, producers, &amp; food suppliers in #IL16 &amp; across the country. https://t.co/iJKKTGG1rf"
100,Great phone call with @A_Talakvadze about #Georgia and their fight against #covid19 as well as economic challenges we will all face.  Our friendship and bond remains as strong as ever. https://t.co/3HQZkhflLE
101,"“Do Democrats even care?” That’s a good question, @WSJ. Hard to say when you’ve got @SpeakerPelosi holding a bipartisan #COVID19 relief bill as her own political hostage. https://t.co/JKiOcclDZN"
102,"RT @fema: ⚠ Due to the large amount of speculation regarding #COVID19, this is a reminder to rely on OFFICIAL sources for accurate informat…"
103,"The Senate must act on the #CARESAct now. This is not the time for political posturing. This is a time for action. We must protect the critical healthcare infrastructure providing care within our communities, including rural areas. #COVID19 https://t.co/kNxXwUhVWw"
104,"My prayers for @MittRomney @RandPaul and every American facing this virus.  No petty shots please, until this all passes. https://t.co/LMRsODJ9Zp"
105,"For more information on this order, please visit my website for a FAQs from the Governor's Office. The PDF Fact Sheet can be found under 'Illinois Response' on my 'Coronavirus Information' webpage here: https://t.co/QQgz4fdidl"
106,"The spread of the #coronavirus is very serious, and it needs to be contained. I know it’s not what we want to do, but a shelter in place is what we NEED to do—especially as we learn more about #COVID19. This is the right call, folks. Staying home WILL save lives. https://t.co/mR0HNV1cLO"
107,"This week, I’ve worked with colleagues across the aisle to take action on issues related to #Covid_19:
📝 to @StateDept @USDA on visas for ag workers
📝 for @SBAgov emergency💰
📝 to @HHSGov @GovPritzker on PPE &amp; Medicaid
More info on these &amp; others here: https://t.co/QQgz4fdidl"
108,"Thank you to all those on the front lines who are working tirelessly—risking their own lives—to keep us stocked, safe, and healthy - you are critical to our fight against the #coronavirus. #IL16 #InItTogether https://t.co/pCMwNwF5ra"
109,There are many sick Americans today because #Chinahidthevirus
110,"HEADS UP! These text messages are FAKE and should NOT be clicked on. Disturbing to see such spam efforts trying to take advantage of people during this pandemic. Stay vigilant, everyone. #InItTogether https://t.co/yvWY228KF0"
111,"Dec 10: first COVID19 victim
Dec 31: Docs post on internet, promptly arrested by China. China orders destruction of samples.
Jan 21: First mention by China in China Daily newspaper
Jan 31: US travel restrictions

For two months, #Chinahidthevirus"
112,"RT @SenateGOP: ✓ PASSED: The Families First Coronavirus Response Act

Here's what it includes ⤵️

+ Free coronavirus testing

+ Paid sick l…"
113,"Just going to leave this here from January from the WHO, courtesy of China when #Chinahidthevirus https://t.co/CP2QERnKRN"
114,"With schools closed across Illinois due to #coronavirus concerns, kids need a creative outlet now more than ever. Starting today, my office will be collecting art submissions for the 2020 Congressional Art Competition. More details for #IL16 here: https://t.co/a7JTnIMH8L https://t.co/I7Xdkjq1US"
115,Daily reminder:  you are in your home now because #Chinahidthevirus
116,"@Redpainter1 No but nations can hide viruses that originated there, and that is what happened."
117,RT @joshrogin: China’s coronavirus propaganda campaign is putting lives at risk https://t.co/NIlxkY2ozF by me @PostOpinions
118,"Absolutely.  China hid this virus for months and allowed their people to fly with it.  China doesn’t have a right to be outraged or offended, and they should pay a price. https://t.co/7fYLaA5X2M"
119,"Hearing from folks at home asking about the #coronavirus concerns versus those of the common flu. So, I wanted to address that AND encourage folks to take 'social distancing' seriously. #IL16 https://t.co/3aPyAqumyN"
120,"Thank you to all who participated in our #IL16 veterans card drive for #StPatricksDay. Due to #coronavirus concerns, I will no longer deliver these to the LaSalle Veterans Home directly. Luckily, the nurses will still share the cards, limericks, &amp; well-wishes to our heroes. 🍀 https://t.co/r7Dxbw8lCe"
121,"Quick update from here in Washington, DC on the latest with #coronavirus information vs misinformation. https://t.co/0UcVzBsOIs"
122,RT @CDCgov: Everyone can help prevent the spread of #COVID19. Practice healthy habits like avoiding close contact with people who are sick.…
123,"@emmylouhay I don’t disagree.  We need to understand who knew what, when, and what were the recommendations of health professionals.  Again, now the focus is getting through this"
124,"This should go without saying.  The President should be tested, especially if he is going to continue to meet with people who are running the national response, and be near the Vice President. https://t.co/NBBnyxPyPf"
125,"The rapid spread of the #coronavirus needs to be taken seriously, &amp; it requires proactive steps to keep the public safe--and that includes my staff &amp; our visitors. We're a strong, capable nation &amp; now is the time to take action. My press release here: https://t.co/SOgcGrJZtu"
126,I spoke with #IL16 healthcare providers today about how they’re preparing for the #coronavirus &amp; what steps need to be taken to best care for the community without hospitals being pushed beyond capacity. We'll continue to monitor the situation &amp; work together as this develops. https://t.co/PW4g37Gb83
127,"RT @alzIllinois: RT to #ShareTheFacts in honor of our mothers, sisters, daughters and all the brave women who are impacted by Alzheimer’s a…"
128,"As we continue to monitor the spread of the #coronavirus, information is power--and I want to equip #IL16 with all the tools necessary to keep folks safe. Visit my website for more details--and please remember: this is a time for preparation, not panic. https://t.co/QQgz4eVGOL"
129,"RT @CDCgov: Currently most cases of #COVID19 in the US are in California and Washington State. However, many other communities are also dea…"
130,"In the midst of a record-breaking flu season &amp; growing COVID-19 concerns, it's increasingly important to ensure our rural hospitals have the capability to care for those who depend on their services. We must act now to save these vital lifelines. #IL16 https://t.co/E8VQH91fKe"
