,Tweet
88,"The CCP censors, persecutes, and even disappears those who deviate from the Party line. It scares its subjects into silence. But please, go on about this “broad verdict” among the Chinese people. https://t.co/19ce4KUYcY"
89,"For Arkansans with questions about the CARES Act, here’s a helpful list of resources. 

Arkansans should contact my office if they have questions about China virus relief. https://t.co/V6HmZMj9cG"
90,"China is now cracking down on academic papers and reporting about the virus's origins. 

Maybe the Post should look into the issue instead of repeating the Communist Party line. 

https://t.co/0uR1CZQRKv"
91,"The article also relies on praise from U.S. scientists who worked closely with researchers at the Wuhan Institute of Virology, as if this clears the lab of any suspicion."
92,"The article tries to cast doubt on the lab theory, but there’s even less evidence for competing theories. 

We know the virus didn’t originate in that seafood market. As one expert said: “the virus came into the market before it came out of the market.”

https://t.co/en6IEAKyTb"
93,"Yet another article by the @washingtonpost that claims there’s “no evidence” China virus came from a lab in Wuhan.

https://t.co/7pp54ZtWVx"
94,"The circumstantial evidence about the virus all points to a breach at the Wuhan labs. China covers up or destroys any direct evidence. Asking intelligence agencies to collect more information is exactly what should be done, not the scandal suggested here. https://t.co/3hyGK6GHgJ"
95,ICYMI: I joined @seanhannity last night to discuss corruption at the @WHO https://t.co/Sq9F1zKylo
96,"Senator Jones and I urged the Treasury to consider debit cards as a faster, easier method to get Americans China virus relief. 

Grateful that @stevenmnuchin1 will now be issuing debit cards for some relief payments. 

https://t.co/hOXWQTvVJf"
97,"Recently, the DOJ indicted a Chinese researcher at Harvard who was allegedly attempting to flee to China with stolen biological research and an undercover Chinese military officer at Boston University researching U.S. military projects.
https://t.co/W3m1lXntKu"
98,"It is a well-established fact that the Chinese Communist Party sends PRC nationals to collect or steal cutting-edge intellectual property from U.S. campuses. 

The FBI is currently investigating more than a thousand cases of Chinese IP theft.

https://t.co/OgShyNl2kx"
99,The Chinese Communist leadership did not want to see their relative power and standing in the world decline because this virus was contained within China so they deliberately hid it from the world. MORE: https://t.co/GGLdmJaFT6
100,"RT @60Mins: In December last year, Taiwanese experts and intelligence sources detected a mystery virus outbreak in Wuhan. Taiwan tried to w…"
101,"Coronavirus has destroyed countless lives – Here's how to make China pay cc: @RepDanCrenshaw 

https://t.co/UGxNtroHBg"
102,America will triumph over the China virus thanks to these dedicated workers. They deserve our thanks.  https://t.co/ss8ggDO4uU
103,"""Sen. Tom Cotton of the @SASCMajority will also propose major legislation to beef up U.S. forces in the Pacific.

Sen. Cotton wants his $43 billion legislation, first reported here, included in Congress’s phase four coronavirus relief package.""

https://t.co/eCK73fDvsh"
104,".@USTreasury released guidance for State, Local, and Tribal Governments regarding the Coronavirus Relief Fund in the CARES Act. 

You can find that guidance document here: 

https://t.co/YzE9UlcWig"
105,"Medical resources—especially during a pandemic—should be used to preserve life, not end it. 

Today the 8th Circuit Court upheld the rule of law, rightly supporting Arkansas’s decision to dedicate its healthcare system to saving the lives of Arkansans. 

https://t.co/OaRgkiEGdy"
106,"China will try to exploit the world’s weakness in the wake of a virus it unleashed. 

We cannot allow it to succeed. 

The FORCE Act will greatly strengthen the U.S. position in the Indo-Pacific, allowing us to block China’s goals of regional dominance.

 https://t.co/bAy4cOkEGg"
107,"No matter what the Chinese Communist Party says, given the mounting evidence, the most likely origins for the China virus are the Wuhan labs studying bats and coronavirus. 

https://t.co/nWMKiO2190"
108,"Great to join @seanhannity with @RepDanCrenshaw to discuss our bill that would allow Americans to sue China in federal court to recover damages for death, injury, and economic harm caused by the China Virus. https://t.co/hDpf7cJRUe"
109,"More spin from the China apologists at @WHO. 

We know the Wuhan labs researched animals &amp; coronaviruses. A lab breach is the most plausible explanation of the virus origin. 

@WHO misdirection purports to but doesn’t address that scenario.

https://t.co/KBcEpsEbHD"
110,22 million Americans have lost their jobs in the last month because of the China virus. Let’s help them get back to work before we import more foreigners to compete for their jobs. https://t.co/0a03nncxeC
111,"From their handling of the Wuhan virus to arresting Hong Kong’s pro-democracy leaders, the Chinese Communist Party remains—and should be treated as—a threat to free people everywhere.

https://t.co/mHrV2Uc4jT"
112,Steuart Walton knows Arkansas and he’ll work hard to ensure our state recovers from the China Virus pandemic. https://t.co/JptONCzZK5
113,"The Chinese Communist Party's decision to cover up the virus led to thousands of needless deaths and untold economic harm. 

It’s only appropriate that we hold the Chinese government accountable for the damage it has caused. 

https://t.co/vVhT3uksqF"
114,"China is withholding vital medical supplies from us—supplies made by *American companies* in China. In the middle of a pandemic unleashed on the world by China.

China must pay. https://t.co/AhOaQ1TniE"
115,"The Chinese Communist Party is responsible for every single death, every job lost, every retirement nest egg lost, from this coronavirus. And Xi Jinping must be made to pay the price. https://t.co/OLCj5Z5rrp"
116,Beijing lied about the Wuhan virus. It lies about its annual GDP numbers. It should be no surprise they were deceitful about nuclear testing.
117,"The Chinese Communist Party’s lack of transparency caused this pandemic, and now they’re holding important medical supplies hostage to extort praise. 

Criminal. 

https://t.co/4GxD1L7z3u"
118,"Storms in Poinsett County are testing the resolve of Arkansas families still reeling from last week’s damage in the Jonesboro area. 

My thoughts are with those Arkansans in NEA tonight, and I remain ready to help at the federal level if the need arises.

https://t.co/N8VolsoMkt"
119,"The WHO’s politics-above-safety approach to the China virus shouldn’t go unquestioned. 

The US ought to withhold its generous funding pending serious changes at the organization. 

https://t.co/XHobjMqwoM"
120,"Instead of lazily repeating phony hearsay, @Max_Fisher should look into the hazy origins of the virus himself—an origin we still don’t know, thanks to Chinese Communist Party’s coverups and lies.

https://t.co/pulLo18Hw2"
121,"Two less likely options—which we couldn’t discount because the Chinese Communist Party *still* has never revealed the virus’s origins—were the bioweapon hypotheses, with either and accidental or purposeful release. https://t.co/sI5NVekNre"
122,"Since the start of this outbreak, I’ve maintained that animal-to-human transmission or a “good science, bad safety” accidental breach in a lab studying coronavirus—like the one in Wuhan—are the most likely origin scenarios. Too bad he couldn’t be bothered to ask. https://t.co/IVOYKWThtk"
123,.@Max_Fisher claims—without evidence—that I believe the China virus was “produced by a Chinese weapons lab.” He should have done his homework. https://t.co/smzBE7ypdd
124,"Please pray for Boris Johnson’s recovery and for our great ally, the UK, to swiftly triumph over the China virus. https://t.co/jwVQOeBT5h"
125,"Useful perspective: it’s the virus, more than any government order, that’s causing business closures &amp; job losses. Arrest spread of virus, develop drugs &amp; preventive techniques, &amp; then open up gradually based on local/state conditions. https://t.co/QXWWRsAMSg"
126,"In honor of Dr. Li, our bill seeks to punish foreign officials responsible for suppressing information about international health crises, including the China virus. https://t.co/VqwfxGebzq"
127,"10M workers lost their jobs over the last two weeks because of the China virus—25 times the pre-pandemic average.

The CARES Act will help with emergency aid. Please help those in need where you can, however you can.

Let’s get through this together. https://t.co/peMT8uVL2a"
128,"China’s fraud extends well beyond its Wuhan virus coverups. 

My EQUITABLE Act would have protected Americans from Chinese deception by requiring all Chinese companies traded on American exchanges to follow the same US regulations as every other nation. 

https://t.co/sDzWbRiUr5"
129,"Everyone is struggling to get through the devastating China virus, and Arkansas’s ranchers are no exception. Today, I sent a sent a letter with 143 of my colleagues to Secretary Perdue asking for swift assistance from the CARES Act for our @ArkCattlemen.
https://t.co/qsV6RZnt49"
130,"The IRS is forcing people on social security to file a tax return before they receive China virus relief.                   

Extremely disappointed to see the IRS directly contradicting the CARES Act, blocking aid to our seniors."
131,Good for @TuckerCarlson for bringing attention to a study by *Chinese* scientists about the origins of the China virus. Not what you’ll hear from MSM. https://t.co/5zOJPOv2pu
132,ICYMI: My interview with @AmericaNewsroom on the U.S. response to the China Coronavirus. https://t.co/DhDzVkIUkO
133,Useful analysis about how we will ultimately beat back the virus and get our economy back on its feet. https://t.co/WgaXbiHTOq
134,"To help hospitals during the fight with the China virus, the Centers for Medicare and Medicaid Services accelerated its advance payment program for the duration of the pandemic.

You can find more information here:
 
https://t.co/j3aZTkmG8k"
135,"A *single mortuary* in Wuhan reportedly ordered more urns in two days than the Chinese Communist Party has reported total deaths in the whole country. 

I’m sure you’re shocked by evidence of Chinese lies. https://t.co/FUOhZ5JYpr"
136,"China just shut down movie theaters nationwide *after* reopening them. 

Sound to you like they have pandemic under control? Me neither.

China is still lying. https://t.co/dDMsyZNBVZ"
137,"I’m closely monitoring the tornadoes in Northeast Arkansas, and my staff and I stand ready to assist the people of Craighead County as they face both the coronavirus and these deadly storms."
138,"How does income level affect China virus relief, and how soon can you expect that relief? 

For Arkansans with questions about relief for individuals, this guide can help answer your questions. 

https://t.co/wyetRklFu2"
139,"The Centers for Disease Control and Prevention (CDC) provides daily updates on the Wuhan virus with guidance for health providers and local public health officials. 

Those updates can be found here:

https://t.co/UybRxioxSJ"
140,"The CARES act will provide emergency funding to steer our economy through the outbreak of the China Virus. If you're a small business owner looking for help navigating new loan programs, my office is here to help. Visit this link for  more information: https://t.co/HTcDRN6UNJ"
141,"The National Highway Traffic Safety Administration has launched a website with helpful resources for Emergency Medical Services (EMS) personnel fighting on the front lines of the China virus. 

The information may be found here: 

https://t.co/RytaYXHaxz"
142,"USDA Rural Development has launched a China virus resource page.

For information on Rural Development loan payment assistance, application deadline extensions, and more, click the link below: 

https://t.co/7qYWXE2rtE"
143,If you’re an Arkansas veteran experiencing difficulty with the VA hospital system or your VA benefits please contact my staff for assistance by phone or email. https://t.co/e7ljdZdJDZ
